Script Name,Category,Ports Related To,One Line Description
nbns-interfaces,Information Gathering,137 (NBNS),Enumerates interfaces using NetBIOS Name Service (NBNS).
nbstat,Information Gathering,137 (NBNS),Retrieves NetBIOS statistics from a target machine.
ncp-enum-users,Information Gathering,524 (NCP),Enumerates users from a Novell NetWare server.
ncp-serverinfo,Information Gathering,524 (NCP),Retrieves server information from a Novell NetWare server.
ndmp-fs-info,Information Gathering,10000 (NDMP),Retrieves file system information from a NDMP server.
ndmp-version,Information Gathering,10000 (NDMP),Retrieves version information from a NDMP server.
nessus-brute,Brute Force,Varies (Nessus),Attempts to brute-force login credentials for a Nessus server.
nessus-xmlrpc-brute,Brute Force,Varies (Nessus XMLRPC),Attempts to brute-force XMLRPC login credentials for a Nessus server.
netbus-auth-bypass,Exploitation,12345 (NetBus),Bypasses authentication for a NetBus server.
netbus-brute,Brute Force,12345 (NetBus),Attempts to brute-force login credentials for a NetBus server.
netbus-info,Information Gathering,12345 (NetBus),Retrieves information from a NetBus server.
netbus-version,Information Gathering,12345 (NetBus),Retrieves version information from a NetBus server.
nexpose-brute,Brute Force,3780 (Nexpose),Attempts to brute-force login credentials for a Nexpose server.
nfs-ls,Information Gathering,2049 (NFS),Lists files on an NFS server.
nfs-showmount,Information Gathering,2049 (NFS),Shows mounted NFS shares from a server.
nfs-statfs,Information Gathering,2049 (NFS),Retrieves file system statistics from an NFS server.
nje-node-brute,Brute Force,Varies (NJE),Attempts to brute-force NJE (Network Job Entry) node login credentials.
nje-pass-brute,Brute Force,Varies (NJE),Attempts to brute-force NJE (Network Job Entry) password credentials.
nntp-ntlm-info,Information Gathering,119 (NNTP),Retrieves NTLM authentication information from an NNTP server.
nping-brute,Brute Force,Varies (Nping),Attempts to brute-force Nping (network pinging) credentials.
nrpe-enum,Information Gathering,5666 (NRPE),Enumerates available plugins and options from an NRPE (Nagios Remote Plugin Executor) server.
ntp-info,Information Gathering,123 (NTP),Retrieves information from an NTP (Network Time Protocol) server.
ntp-monlist,Exploitation,123 (NTP),Exploits NTP servers with the monlist command to retrieve a list of recent clients.
omp2-brute,Brute Force,Varies (OMP2),Attempts to brute-force login credentials for an OMP2 (Open Management Protocol) server.
omp2-enum-targets,Information Gathering,Varies (OMP2),Enumerates targets for an OMP2 server.
omron-info,Information Gathering,Varies (Omron),Retrieves information from an Omron PLC (Programmable Logic Controller).
openflow-info,Information Gathering,Varies (OpenFlow),Retrieves information about OpenFlow controllers and switches.
openlookup-info,Information Gathering,Varies (OpenLookup),Retrieves information from OpenLookup servers.
openvas-otp-brute,Brute Force,Varies (OpenVAS),Attempts to brute-force one-time password (OTP) login for an OpenVAS server.
openwebnet-discovery,Discovery,Varies (OpenWebNet),Discovers devices using the OpenWebNet protocol.
oracle-brute,Brute Force,Varies (Oracle),Attempts to brute-force login credentials for an Oracle database.
oracle-brute-stealth,Brute Force,Varies (Oracle),Attempts to brute-force login credentials for an Oracle database stealthily.
oracle-enum-users,Information Gathering,Varies (Oracle),Enumerates users on an Oracle database.
oracle-sid-brute,Brute Force,Varies (Oracle),Attempts to brute-force Oracle SID (System Identifier) to access the database.
oracle-tns-version,Information Gathering,Varies (Oracle),Retrieves version information from an Oracle TNS (Transparent Network Substrate) listener.
ovs-agent-version,Information Gathering,Varies (OVS),Retrieves version information from an Open vSwitch (OVS) agent.
p2p-conficker,Malware Detection,Varies (P2P),Detects and identifies systems infected with the Conficker P2P malware.
path-mtu,Information Gathering,Varies (Network),Determines the maximum transmission unit (MTU) for a network path.
pcanywhere-brute,Brute Force,5631 (PCAnywhere),Attempts to brute-force login credentials for a PCAnywhere server.
pcworx-info,Information Gathering,Varies (PCWorx),Retrieves information from a PCWorx automation server.
pgsql-brute,Brute Force,5432 (PostgreSQL),Attempts to brute-force login credentials for a PostgreSQL server.
pjl-ready-message,Information Gathering,Varies (PJL),Retrieves the ready message from a printer using Printer Job Language (PJL).
pop3-brute,Brute Force,110 (POP3),Attempts to brute-force login credentials for a POP3 mail server.
pop3-capabilities,Information Gathering,110 (POP3),Enumerates capabilities of a POP3 mail server.
pop3-ntlm-info,Information Gathering,110 (POP3),Retrieves NTLM authentication information from a POP3 mail server.
port-states,Information Gathering,Varies (Ports),Queries the states of open ports on a target machine.
pptp-version,Information Gathering,1723 (PPTP),Retrieves version information from a PPTP (Point-to-Point Tunneling Protocol) server.
puppet-naivesigning,Exploitation,Varies (Puppet),Attempts to exploit naive signing in Puppet (automation framework) servers.
qconn-exec,Exploitation,Varies (Qconn),Executes commands on a Qconn server (used by QNX OS).
qscan,Information Gathering,Varies (Qscan),Scans for QNX nodes on a network.
quake1-info,Information Gathering,Varies (Quake1),Retrieves server information from a Quake1 game server.
quake3-info,Information Gathering,Varies (Quake3),Retrieves server information from a Quake3 game server.
quake3-master-getservers,Information Gathering,Varies (Quake3),Retrieves a list of Quake3 game servers from a master server.
rdp-enum-encryption,Information Gathering,3389 (RDP),Enumerates encryption settings for Remote Desktop Protocol (RDP) servers.
rdp-ntlm-info,Information Gathering,3389 (RDP),Retrieves NTLM authentication information from an RDP server.
rdp-vuln-ms12-020,Vulnerability Scanning,3389 (RDP),Checks for the MS12-020 vulnerability in Remote Desktop Protocol (RDP).
realvnc-auth-bypass,Exploitation,5900 (VNC),Exploits authentication bypass in RealVNC servers.
redis-brute,Brute Force,6379 (Redis),Attempts to brute-force login credentials for a Redis server.
redis-info,Information Gathering,6379 (Redis),Retrieves information about a Redis server.
resolveall,Information Gathering,Varies (DNS),Resolves all domains in a list and provides detailed results.
reverse-index,Information Gathering,Varies (Network),Scans a target network for reverse DNS records and index them.
rexec-brute,Brute Force,512 (Rexec),Attempts to brute-force login credentials for a Rexec service.
rfc868-time,Information Gathering,37 (RFC 868 Time),Retrieves the time from a server that uses RFC 868 protocol.
riak-http-info,Information Gathering,Varies (Riak),Retrieves information from a Riak NoSQL database using HTTP.
rlogin-brute,Brute Force,513 (Rlogin),Attempts to brute-force login credentials for an Rlogin server.
rmi-dumpregistry,Information Gathering,Varies (RMI),Dumps the registry of remote objects from an RMI (Remote Method Invocation) server.
rmi-vuln-classloader,Vulnerability Scanning,Varies (RMI),Checks for the classloader vulnerability in RMI servers.
rpc-grind,Information Gathering,Varies (RPC),Gathers information from an RPC service.
rpcap-brute,Brute Force,135 (RPC),Attempts to brute-force login credentials for an RPC service.
rpcap-info,Information Gathering,135 (RPC),Retrieves information from an RPC service.
rpcinfo,Information Gathering,111 (RPC),Retrieves information about RPC services running on a remote machine.
rsa-vuln-roca,Vulnerability Scanning,Varies (RSA),Checks for the ROCA vulnerability in RSA key generation.
rsync-brute,Brute Force,873 (Rsync),Attempts to brute-force login credentials for an Rsync server.
rsync-list-modules,Information Gathering,873 (Rsync),Retrieves a list of available modules on an Rsync server.
rtsp-methods,Information Gathering,554 (RTSP),Enumerates methods supported by a Real-Time Streaming Protocol (RTSP) server.
rtsp-url-brute,Brute Force,554 (RTSP),Attempts to brute-force URLs on an RTSP server.
rusers,Information Gathering,Varies (Network),Queries a system for users logged into a remote host.
s7-info,Information Gathering,102 (S7),Retrieves information about a Siemens S7 PLC system.
samba-vuln-cve-2012-1182,Vulnerability Scanning,"139, 445 (Samba)","Checks for the Samba vulnerability CVE-2012-1182, which allows remote code execution."
servicetags,Information Gathering,Varies (Network),Retrieves system information using Dell Service Tags.
shodan-api,Information Gathering,Varies (API),"Uses the Shodan API to gather information about IPs, devices, and services."
sip-brute,Brute Force,5060 (SIP),Attempts to brute-force login credentials for a SIP server.
sip-call-spoof,Exploitation,5060 (SIP),Attempts to spoof calls on a SIP server.
sip-enum-users,Information Gathering,5060 (SIP),Enumerates users on a SIP server.
sip-methods,Information Gathering,5060 (SIP),Enumerates supported methods on a SIP server.
skypev2-version,Information Gathering,443 (Skype),Retrieves version information from a Skype v2 server.
smb-brute,Brute Force,"139, 445 (SMB)",Attempts to brute-force login credentials for an SMB server.
smb-double-pulsar-backdoor,Exploitation,445 (SMB),Exploits the Double Pulsar SMB backdoor vulnerability.
smb-enum-domains,Information Gathering,"139, 445 (SMB)",Enumerates domains available on an SMB server.
smb-enum-groups,Information Gathering,"139, 445 (SMB)",Enumerates groups on an SMB server.
smb-enum-processes,Information Gathering,"139, 445 (SMB)",Enumerates processes running on an SMB server.
smb-enum-services,Information Gathering,"139, 445 (SMB)",Enumerates services on an SMB server.
smb-enum-sessions,Information Gathering,"139, 445 (SMB)",Enumerates sessions connected to an SMB server.
smb-enum-shares,Information Gathering,"139, 445 (SMB)",Enumerates shared resources on an SMB server.
smb-enum-users,Information Gathering,"139, 445 (SMB)",Enumerates users on an SMB server.
smb-flood,Denial of Service,"139, 445 (SMB)",Floods an SMB server with requests to cause denial of service.
smb-ls,Information Gathering,"139, 445 (SMB)",Lists files and directories on an SMB server.
smb-mbenum,Information Gathering,"139, 445 (SMB)",Enumerates resources on a Microsoft SMB server.
smb-os-discovery,Information Gathering,"139, 445 (SMB)",Detects the operating system of an SMB server.
smb-print-text,Information Gathering,"139, 445 (SMB)",Retrieves printer text from an SMB server.
smb-protocols,Information Gathering,"139, 445 (SMB)",Retrieves supported protocols from an SMB server.
smb-psexec,Exploitation,"139, 445 (SMB)",Executes commands on an SMB server using PsExec.
smb-security-mode,Information Gathering,"139, 445 (SMB)",Retrieves security mode information from an SMB server.
smb-server-stats,Information Gathering,"139, 445 (SMB)",Retrieves server statistics from an SMB server.
smb-system-info,Information Gathering,"139, 445 (SMB)",Retrieves system information from an SMB server.
smb-vuln-conficker,Vulnerability Scanning,"139, 445 (SMB)",Checks for the Conficker worm vulnerability in SMB servers.
smb-vuln-cve-2017-7494,Vulnerability Scanning,"139, 445 (SMB)",Checks for the SMB vulnerability CVE-2017-7494 that allows remote code execution.
smb-vuln-cve2009-3103,Vulnerability Scanning,"139, 445 (SMB)",Checks for the SMB vulnerability CVE-2009-3103 which allows remote code execution.
smb-vuln-ms06-025,Vulnerability Scanning,"139, 445 (SMB)",Checks for the MS06-025 vulnerability in SMB servers.
smb-vuln-ms07-029,Vulnerability Scanning,"139, 445 (SMB)",Checks for the MS07-029 vulnerability in SMB servers.
smb-vuln-ms08-067,Vulnerability Scanning,"139, 445 (SMB)",Checks for the MS08-067 vulnerability in SMB servers.
smb-vuln-ms10-054,Vulnerability Scanning,"139, 445 (SMB)",Checks for the MS10-054 vulnerability in SMB servers.
smb-vuln-ms10-061,Vulnerability Scanning,"139, 445 (SMB)",Checks for the MS10-061 vulnerability in SMB servers.
smb-vuln-ms17-010,Vulnerability Scanning,"139, 445 (SMB)",Checks for the MS17-010 vulnerability in SMB servers (EternalBlue).
smb-vuln-regsvc-dos,Denial of Service,"139, 445 (SMB)",Exploits a Denial of Service vulnerability in SMB servers.
smb-vuln-webexec,Vulnerability Scanning,"139, 445 (SMB)",Checks for the WebExec vulnerability in SMB servers.
smb-webexec-exploit,Exploitation,"139, 445 (SMB)",Exploits the WebExec vulnerability in SMB servers.
smb2-capabilities,Information Gathering,445 (SMB2),Retrieves SMB2 capabilities from an SMB server.
smb2-security-mode,Information Gathering,445 (SMB2),Retrieves security mode of SMB2 server.
smb2-time,Information Gathering,445 (SMB2),Retrieves time information from an SMB2 server.
smb2-vuln-uptime,Vulnerability Scanning,445 (SMB2),Checks for SMB2 uptime vulnerability in SMB servers.
smtp-brute,Brute Force,25 (SMTP),Attempts to brute-force login credentials for an SMTP server.
smtp-commands,Information Gathering,25 (SMTP),Retrieves supported commands from an SMTP server.
smtp-enum-users,Information Gathering,25 (SMTP),Enumerates users on an SMTP server.
smtp-ntlm-info,Information Gathering,25 (SMTP),Retrieves NTLM authentication information from an SMTP server.
smtp-open-relay,Information Gathering,25 (SMTP),Checks if an SMTP server is open for relaying emails.
smtp-strangeport,Information Gathering,25 (SMTP),Detects strange ports or behavior in SMTP traffic.
smtp-vuln-cve2010-4344,Vulnerability Scanning,25 (SMTP),Checks for the SMTP vulnerability CVE-2010-4344.
smtp-vuln-cve2011-1720,Vulnerability Scanning,25 (SMTP),Checks for the SMTP vulnerability CVE-2011-1720.
smtp-vuln-cve2011-1764,Vulnerability Scanning,25 (SMTP),Checks for the SMTP vulnerability CVE-2011-1764.
sniffer-detect,Detection,Varies (Network),Detects the presence of network sniffers on the network.
snmp-brute,Brute Force,161 (SNMP),Attempts to brute-force login credentials for an SNMP service.
snmp-hh3c-logins,Brute Force,161 (SNMP),Attempts to brute-force login credentials for HH3C SNMP devices.
snmp-info,Information Gathering,161 (SNMP),Retrieves information about an SNMP device.
snmp-interfaces,Information Gathering,161 (SNMP),Lists network interfaces via SNMP.
snmp-ios-config,Information Gathering,161 (SNMP),Retrieves the configuration of Cisco IOS devices via SNMP.
snmp-netstat,Information Gathering,161 (SNMP),Retrieves network statistics via SNMP.
snmp-processes,Information Gathering,161 (SNMP),Retrieves a list of running processes via SNMP.
snmp-sysdescr,Information Gathering,161 (SNMP),Retrieves the system description of an SNMP device.
snmp-win32-services,Information Gathering,161 (SNMP),Retrieves Windows services list via SNMP.
snmp-win32-shares,Information Gathering,161 (SNMP),Retrieves Windows shared resources list via SNMP.
snmp-win32-software,Information Gathering,161 (SNMP),Retrieves a list of installed software via SNMP on Windows machines.
snmp-win32-users,Information Gathering,161 (SNMP),Retrieves Windows users list via SNMP.
socks-auth-info,Information Gathering,1080 (SOCKS),Retrieves authentication information from a SOCKS proxy.
socks-brute,Brute Force,1080 (SOCKS),Attempts to brute-force login credentials for a SOCKS proxy server.
socks-open-proxy,Information Gathering,1080 (SOCKS),Checks if a SOCKS proxy server is open to relay traffic.
ssh-auth-methods,Information Gathering,22 (SSH),Enumerates the authentication methods supported by an SSH server.
ssh-brute,Brute Force,22 (SSH),Attempts to brute-force login credentials for an SSH server.
ssh-hostkey,Information Gathering,22 (SSH),Retrieves the SSH host key of a server.
ssh-publickey-acceptance,Information Gathering,22 (SSH),Checks if an SSH server accepts public key authentication.
ssh-run,Remote Execution,22 (SSH),Executes commands remotely on a server via SSH.
ssh2-enum-algos,Information Gathering,22 (SSH),Enumerates the encryption algorithms supported by an SSH server.
sshv1,Vulnerability Scanning,22 (SSH),Detects if SSHv1 (an insecure version) is being used on the server.
ssl-ccs-injection,Exploitation,443 (SSL),Exploits the SSL/TLS CCS Injection vulnerability (CVE-2014-0224).
ssl-cert,Information Gathering,443 (SSL),Retrieves SSL certificate information from a server.
ssl-cert-intaddr,Information Gathering,443 (SSL),Retrieves SSL certificate information including internal IP addresses.
ssl-date,Information Gathering,443 (SSL),Retrieves the SSL certificate's validity dates.
ssl-dh-params,Information Gathering,443 (SSL),Retrieves the Diffie-Hellman parameters used in SSL/TLS handshake.
ssl-enum-ciphers,Information Gathering,443 (SSL),Enumerates the ciphers supported by an SSL/TLS server.
ssl-heartbleed,Vulnerability Scanning,443 (SSL),Checks for the Heartbleed vulnerability (CVE-2014-0160) in SSL/TLS servers.
ssl-known-key,Information Gathering,443 (SSL),Checks if a known SSL private key is being used by a server.
ssl-poodle,Vulnerability Scanning,443 (SSL),Checks for the POODLE SSL vulnerability (CVE-2014-3566).
sslv2,Vulnerability Scanning,443 (SSL),Detects if SSLv2 (an insecure version) is being used on a server.
sslv2-drown,Vulnerability Scanning,443 (SSL),Detects if a server is vulnerable to the DROWN attack (CVE-2016-0800).
sstp-discover,Information Gathering,443 (SSTP),Discovers Secure Socket Tunneling Protocol (SSTP) server.
stun-info,Information Gathering,3478 (STUN),"Retrieves information from a STUN server, typically used for NAT traversal."
stun-version,Information Gathering,3478 (STUN),Retrieves the version of a STUN server.
stuxnet-detect,Malware Detection,Varies (Network),Detects the presence of the Stuxnet malware on a network.
supermicro-ipmi-conf,Information Gathering,623 (IPMI),Retrieves IPMI configuration information from Supermicro devices.
svn-brute,Brute Force,3690 (SVN),Attempts to brute-force login credentials for an SVN server.
targets-asn,Information Gathering,Varies (Network),Retrieves ASN (Autonomous System Number) information for a given IP address or domain.
targets-ipv6-map4to6,Information Gathering,Varies (Network),Maps IPv4 addresses to IPv6 addresses for targets.
targets-ipv6-multicast-echo,Information Gathering,123 (NTP),Sends multicast echo requests to IPv6 targets.
targets-ipv6-multicast-invalid-dst,Information Gathering,Varies (Network),Detects invalid destination addresses in IPv6 multicast.
targets-ipv6-multicast-mld,Information Gathering,Varies (Network),Monitors IPv6 multicast listener discovery (MLD) traffic.
targets-ipv6-multicast-slaac,Information Gathering,Varies (Network),Checks IPv6 Stateless Address Autoconfiguration (SLAAC) for multicast traffic.
targets-ipv6-wordlist,Information Gathering,Varies (Network),Performs a wordlist-based scan for IPv6 addresses.
targets-sniffer,Detection,Varies (Network),Detects the presence of network sniffers on the target network.
targets-traceroute,Information Gathering,Varies (Network),Performs a traceroute to determine the network path to the target.
targets-xml,Information Gathering,Varies (Network),Retrieves target information in XML format.
teamspeak2-version,Information Gathering,8767 (Teamspeak),Retrieves the version of a TeamSpeak 2 server.
telnet-brute,Brute Force,23 (Telnet),Attempts to brute-force login credentials for a Telnet service.
telnet-encryption,Information Gathering,23 (Telnet),Checks the encryption methods supported by a Telnet service.
telnet-ntlm-info,Information Gathering,23 (Telnet),Retrieves NTLM (Windows) authentication information from a Telnet server.
tftp-enum,Information Gathering,69 (TFTP),Enumerates files on a TFTP (Trivial File Transfer Protocol) server.
tls-alpn,Information Gathering,443 (SSL/TLS),Enumerates ALPN (Application-Layer Protocol Negotiation) protocols supported by the server.
tls-nextprotoneg,Information Gathering,443 (SSL/TLS),Checks for support of Next Protocol Negotiation (NPN) in TLS/SSL connections.
tls-ticketbleed,Vulnerability Scanning,443 (SSL/TLS),Detects the Ticketbleed vulnerability in SSL/TLS servers (CVE-2016-9244).
tn3270-screen,Information Gathering,23 (TN3270),Retrieves the screen content of a TN3270 (IBM terminal) service.
tor-consensus-checker,Information Gathering,Varies (Network),Checks the consensus information of the Tor network.
traceroute-geolocation,Information Gathering,Varies (Network),Performs a traceroute with geolocation information for the route.
tso-brute,Brute Force,Varies (Network),Attempts to brute-force login credentials for TSO (Terminal Services).
tso-enum,Information Gathering,Varies (Network),Enumerates Terminal Services (TSO) on a server.
ubiquiti-discovery,Information Gathering,Varies (Network),Discovers Ubiquiti network devices in the local network.
unittest,Information Gathering,Varies (Network),Runs unit tests on scripts to ensure proper functioning.
unusual-port,Information Gathering,Varies (Network),Detects services running on uncommon ports.
upnp-info,Information Gathering,1900 (UPnP),Retrieves information from UPnP (Universal Plug and Play) devices.
uptime-agent-info,Information Gathering,Varies (Network),Gathers system uptime information from an agent.
url-snarf,Information Gathering,Varies (Network),Captures URLs from network traffic.
ventrilo-info,Information Gathering,3784 (Ventrilo),Retrieves information about a Ventrilo server.
versant-info,Information Gathering,Varies (Network),Retrieves information about Versant (Object-Oriented Database) server.
vmauthd-brute,Brute Force,443 (VMware),Attempts to brute-force login credentials for VMware authentication service.
vmware-version,Information Gathering,443 (VMware),Retrieves the version of VMware vCenter Server.
vnc-brute,Brute Force,5900 (VNC),Attempts to brute-force login credentials for a VNC (Virtual Network Computing) server.
vnc-info,Information Gathering,5900 (VNC),Retrieves information about a VNC server.
vnc-title,Information Gathering,5900 (VNC),Retrieves the title of the VNC server’s session.
voldemort-info,Information Gathering,Varies (Network),Retrieves information about a Voldemort (distributed key-value store) instance.
vtam-enum,Information Gathering,Varies (Network),Enumerates VTAM (Virtual Telecommunications Access Method) instances.
vulners,Vulnerability Scanning,Varies (Network),Retrieves vulnerability information from the Vulners database.
vuze-dht-info,Information Gathering,Varies (Network),Retrieves information from a Vuze DHT (Distributed Hash Table) network.
wdb-version,Information Gathering,80 (Web),Retrieves the version of a Web Database (WDB) service.
weblogic-t3-info,Information Gathering,7001 (Weblogic),Retrieves information from WebLogic T3 protocol.
whois-domain,Information Gathering,Varies (Network),Performs a WHOIS lookup for a domain.
whois-ip,Information Gathering,Varies (Network),Performs a WHOIS lookup for an IP address.
wsdd-discover,Information Gathering,3702 (WS-Discovery),Discovers devices using WS-Discovery protocol.
x11-access,Information Gathering,6000 (X11),Checks if X11 (remote GUI) access is possible.
xdmcp-discover,Information Gathering,177 (XDMCP),Discovers XDMCP (X Display Manager Control Protocol) services on the network.
xmlrpc-methods,Information Gathering,80 (Web),Enumerates XML-RPC methods offered by a web service.
xmpp-brute,Brute Force,5222 (XMPP),Attempts to brute-force login credentials for an XMPP (Jabber) server.
xmpp-info,Information Gathering,5222 (XMPP),Retrieves information about an XMPP (Jabber) server.
